Date,Text,Retweets,Likes
2012-12-10 09:28,The 2012 White House holiday card starring Bo: http://OFA.BO/gJMxvs pic.twitter.com/oYOF5FVJ,2726,2468
2012-12-10 10:34,Who will decide if your taxes increase in just 22 days? A few dozen members of Congress who need to hear from you. http://OFA.BO/qLxeAt ,539,190
2012-12-10 11:27,Watch live: President Obama speaks at the Daimler Detroit Diesel plant in Redford Michigan.http://www.wh.gov/live ,244,127
2012-12-10 11:31,I believe America only succeeds and thrives when we've got a strong and growing middle class. —President Obama,876,363
2012-12-10 11:32,I want us to give more Americans the chance to earn the skills that businesses are looking for right now. —President Obama,480,239
2012-12-10 11:33,I want us to put people back to work rebuilding our roads bridges and schools. —President Obama,607,261
2012-12-10 11:33,I want to make sure America leads the world in research technology and clean energy. —President Obama,667,295
2012-12-10 11:34,I want us to bring down our deficits in a balanced and responsible way. —President Obama,454,217
2012-12-10 11:38,"President Obama on the auto rescue: ""We bet on American ingenuity and I'd make that same bet again any day of the week.""",233,145
2012-12-10 11:39,If you want to find the best workers in the world... you should invest in the United States of America. —President Obama,630,251
2012-12-10 11:40,We should do everything we can to encourage companies like Daimler to keep investing in American workers. —President Obama,303,169
2012-12-10 11:40,We should do everything we can to keep creating good middle class jobs. —President Obama,560,219
2012-12-10 11:41,We don't want a race to the bottom. We want a race to the top. —President Obama,1027,310
2012-12-10 11:41,What we shouldn’t be doing is try to take away your rights to bargain for better wages or working conditions. —President Obama,600,220
2012-12-10 11:43,If Congress doesn't act soon starting on January 1st everyone's going to see their income taxes go up. —President Obama,566,163
2012-12-10 11:44,If Congress doesn’t act the typical middle class family of four will see their taxes go up by about $2200. —President Obama,618,166
2012-12-10 11:45,We can solve this problem. All Congress has to do is pass a law to prevent a tax hike on the first $250000 of everybody's income. —Obama,713,231
2012-12-10 11:51,Our economic success has never come from the top down; it comes from the middle out. —President Obama,811,308
2012-12-10 11:52,Pick up the phone to make sure your representative supports President Obama's middle class tax cut plan: http://OFA.BO/Gy78Lh ,387,176
2012-12-10 11:55,If your representative already supports the President's plan call OFA supporters and ask them to call their reps: http://OFA.BO/EVHnqF ,280,156
2012-12-10 13:49,Kathy’s #My2K would help purchase supplies for her classroom. What does #My2K mean to you?pic.twitter.com/bL4qNE4U,343,247
2012-12-10 15:52,"President Obama in Michigan: ""That's a principle I won't compromise on."" http://OFA.BO/c5zgQk ",489,300
2012-12-11 08:07,If your taxes go up Republicans will have made a conscious choice to let that happen: http://OFA.BO/Hn4H5E ,976,308
2012-12-11 11:24,Taking care of family: Just one reason why #My2K matters. Tell Congress to keep taxes low: http://OFA.BO/eJ1SGL pic.twitter.com/nETU3Q3c,473,326
2012-12-11 12:18,Find out what's at stake for your state if Congress fails to act on taxes: http://OFA.BO/FtEj7y  (via @TheDemocrats),303,178
2012-12-11 13:36,New photos: Behind the scenes at the White House this November. http://OFA.BO/b5t8FC ,339,312
2012-12-11 16:01,In step.pic.twitter.com/x2OSOxhP,2330,2988
2012-12-12 06:26,Vice President @JoeBiden talks #My2K: http://OFA.BO/BnQi3f ,306,266
2012-12-12 10:40,One of our favorite 2012 photos: Doing 10.pic.twitter.com/CJNbjrEr,1759,1632
2012-12-13 09:03,Taxes will go up for 114 million American families if Congress doesn't act. Make calls today: http://OFA.BO/BWVpyH pic.twitter.com/69jUQebt,966,468
2012-12-13 10:20,Looking towards home: One of our favorite photos from this year.pic.twitter.com/FYQPeZS3,2672,3567
2012-12-17 08:33,These tragedies must end. And to end them we must change. —President Obama http://OFA.BO/8qicHd ,5008,1746
2012-12-17 16:23,We've lost a true American hero with the passing of Senator Daniel Inouye. Aloha Danny. -bo,2446,1116
2012-12-18 17:23,One of our favorite 2012 photos: The President and First Lady hugging at his final campaign rally.pic.twitter.com/jUAJLm6h,2722,2413
2012-12-19 07:24,Photo of the day: President Obama gets caught in Spider-Man's web.pic.twitter.com/lDBWICTG,10676,6549
2012-12-19 07:38,President Obama is @TIME's Person of the Year: http://poy.time.com/ ,2769,1096
2012-12-19 09:33,“I will use all the powers of this office to help advance efforts aimed at preventing more tragedies like this.” —President Obama on Newtown,1451,600
2012-12-19 09:34,"Obama: ""I've asked the @VP to lead an effort ... to come up with a set of concrete proposals no later than January"" to reduce gun violence.",1178,496
2012-12-19 09:35,“If there’s even one thing that we can do to prevent any of these events we have a deep obligation—all of us—to try.”,1905,651
2012-12-19 13:54,The fact that this problem is complex can no longer be an excuse for doing nothing. http://OFA.BO/mxPAjA ,2195,803
2012-12-20 09:22,“We don’t turn back. We leave no one behind.” —President Obama at the DNC. One of our favorite moments from this year:pic.twitter.com/U1mZb83g,984,816
2012-12-20 13:55,Power hug: A photo that made us smile this year.pic.twitter.com/aBy0wkxJ,3166,3112
2012-12-21 13:12,President Obama has announced @JohnKerry as his nominee to be the next Secretary of State: http://OFA.BO/L9SXFs ,1052,444
2012-12-21 14:35,Watch live: President Obama delivers a statement on the fiscal cliff. http://www.wh.gov/live ,274,201
2012-12-21 14:49,I am still ready and willing to get a compromise package done. —President Obama,723,363
2012-12-21 14:51,All of us... agree that tax rates shouldn't go up for the other 98% of Americans. —President Obama,889,427
2012-12-21 14:52,There is absolutely no reason—none—not to protect [middle class] Americans from a tax hike. —President Obama,1353,564
2012-12-22 08:01,We hear you: President Obama responds to the thousands of you who signed petitions on reducing gun violence.http://OFA.BO/Sfns5v ,1344,654
2012-12-22 09:18,One of our favorite photos from this year: 30000 strong in Wisconsin.pic.twitter.com/bufskgX6,1468,1568
2012-12-22 12:01,"The President on John Kerry his nominee for Secretary of State: ""John’s entire life has prepared him for this role.""http://OFA.BO/UUMsS2 ",586,402
2012-12-23 07:31,Check out the kids in the back row to see why this is one of our favorite photos from this year.pic.twitter.com/fROnQ6nC,4215,3573
2012-12-23 14:27,Happy holidays!pic.twitter.com/RioiEHcl,7255,6433
2012-12-24 07:45,The President and First Lady wish you a Merry Christmas and Happy Holidays:http://OFA.BO/jrLAYW ,3637,3492
2012-12-25 07:59,Barack and Michelle wish you a Merry Christmas and Happy Holidays: http://OFA.BO/i1d9u3 pic.twitter.com/XkpjBLKK,3962,6820
2012-12-26 07:44,A favorite 2012 photo: Seen in Davenport Iowa.pic.twitter.com/Z1BrxxWr,995,1329
2012-12-26 16:58,Air Force One night Ohio: One of our favorite photos of 2012.pic.twitter.com/3XcmiAR0,1458,1552
2012-12-27 07:09,A favorite 2012 photo: Salute.pic.twitter.com/rbF2vps0,2410,2419
2012-12-28 09:07,Scroll through this timeline for a look back at the moments that made this year—and this campaign—what it was: http://OFA.BO/9EQXJh ,437,353
2012-12-28 11:27,It's not often you get 19 months to change the world: http://OFA.BO/RRaPEi ,667,483
2012-12-28 14:51,Watch live: The President delivers a statement.http://www.wh.gov/live ,326,182
2012-12-28 15:19,"Obama: ""In just 4 days every American's tax rates are scheduled to go up by law. Every American's paycheck will get considerably smaller.""",1484,291
2012-12-28 15:19,"President Obama on the fiscal cliff: ""The hour for immediate action is here. It is now.""",848,335
2012-12-28 15:20,Congress can prevent [middle class tax hikes] from happening if they act right now.—President Obama,904,310
2012-12-28 15:21,The American people are not going to have any patience for a politically self-inflicted wound to our economy. —President Obama,1500,462
2012-12-28 15:21,If an agreement isn't reached in time... I will urge Sen. Reid to bring to the floor a basic package to prevent middle class tax hikes.,832,344
2012-12-28 15:22,We've got to get this done. —President Obama,1683,712
2012-12-28 15:22,The economy's growing but sustaining that trend is going to require elected officials to do their jobs. —President Obama,1518,511
2012-12-29 08:50,Congress can still prevent taxes from going up on 98% of Americans. But they've got to act right now.http://OFA.BO/6WGMUe ,1232,528
2012-12-29 12:10,Saying hi:pic.twitter.com/hpiTPNSa,2331,2981
2012-12-30 09:01,President Obama on Meet the Press today: “Our top priority is that we can’t let taxes go up on middle class families.”http://OFA.BO/ZxrTcB ,999,506
2012-12-31 10:44,Watch live: President Obama speaks on the fiscal cliff.http://www.wh.gov/live ,470,330
2012-12-31 11:22,"President Obama on the fiscal cliff: ""Preventing [middle class tax hikes] has been my top priority.""",539,315
2012-12-31 11:24,The last thing folks can afford right now is to pay an extra $2000 in taxes next year. —President Obama,1038,441
2012-12-31 11:26,An agreement to prevent this New Year's tax hike is within sight but it's not done. —President Obama,567,274
2012-12-31 11:27,We've got to do this in a balanced and responsible way. —President Obama on fiscal cliff negotiations,799,434
2012-12-31 11:27,There are still issues left to resolve but we're hopeful that Congress can get it done.,444,301
